id,left,top,right,bottom,num_of_points,F,H,L,P
"249",79.027195,21.213185,79.032195,21.208185,0,0,0,0,0
"250",79.027195,21.208185,79.032195,21.203185,0,0,0,0,0
"251",79.027195,21.203185,79.032195,21.198185,0,0,0,0,0
"252",79.027195,21.198185,79.032195,21.193185,0,0,0,0,0
"253",79.027195,21.193185,79.032195,21.188185,0,0,0,0,0
"254",79.027195,21.188185,79.032195,21.183185,0,0,0,0,0
"255",79.027195,21.183185,79.032195,21.178185,0,0,0,0,0
"256",79.027195,21.178185,79.032195,21.173185,0,0,0,0,0
"257",79.027195,21.173185,79.032195,21.168185,0,0,0,0,0
"258",79.027195,21.168185,79.032195,21.163185,0,0,0,0,0
"259",79.027195,21.163185,79.032195,21.158185,0,0,0,0,0
"260",79.027195,21.158185,79.032195,21.153185,0,0,0,0,0
"261",79.027195,21.153185,79.032195,21.148185,19,2,13,4,0
"262",79.027195,21.148185,79.032195,21.143185,0,0,0,0,0
"263",79.027195,21.143185,79.032195,21.138185,0,0,0,0,0
"264",79.027195,21.138185,79.032195,21.133185,0,0,0,0,0
"265",79.027195,21.133185,79.032195,21.128185,0,0,0,0,0
"266",79.027195,21.128185,79.032195,21.123185,0,0,0,0,0
"267",79.027195,21.123185,79.032195,21.118185,3,0,3,0,0
"268",79.027195,21.118185,79.032195,21.113185,0,0,0,0,0
"269",79.027195,21.113185,79.032195,21.108185,0,0,0,0,0
"270",79.027195,21.108185,79.032195,21.103185,0,0,0,0,0
"271",79.027195,21.103185,79.032195,21.098185,0,0,0,0,0
"272",79.027195,21.098185,79.032195,21.093185,0,0,0,0,0
"273",79.027195,21.093185,79.032195,21.088185,0,0,0,0,0
"274",79.027195,21.088185,79.032195,21.083185,0,0,0,0,0
"275",79.027195,21.083185,79.032195,21.078185,0,0,0,0,0
"276",79.027195,21.078185,79.032195,21.073185,0,0,0,0,0
"277",79.027195,21.073185,79.032195,21.068185,0,0,0,0,0
"278",79.027195,21.068185,79.032195,21.063185,0,0,0,0,0
"279",79.027195,21.063185,79.032195,21.058185,0,0,0,0,0
"280",79.027195,21.058185,79.032195,21.053185,0,0,0,0,0
"281",79.027195,21.053185,79.032195,21.048185,0,0,0,0,0
"282",79.027195,21.048185,79.032195,21.043185,0,0,0,0,0
"283",79.027195,21.043185,79.032195,21.038185,0,0,0,0,0
"284",79.027195,21.038185,79.032195,21.033185,0,0,0,0,0
"285",79.027195,21.033185,79.032195,21.028185,0,0,0,0,0
"286",79.027195,21.028185,79.032195,21.023185,0,0,0,0,0
"287",79.027195,21.023185,79.032195,21.018185,0,0,0,0,0
"288",79.027195,21.018185,79.032195,21.013185,0,0,0,0,0
"289",79.032195,21.253185,79.037195,21.248185,0,0,0,0,0
"290",79.032195,21.248185,79.037195,21.243185,0,0,0,0,0
"291",79.032195,21.243185,79.037195,21.238185,0,0,0,0,0
"292",79.032195,21.238185,79.037195,21.233185,0,0,0,0,0
"293",79.032195,21.233185,79.037195,21.228185,0,0,0,0,0
"294",79.032195,21.228185,79.037195,21.223185,1,0,1,0,0
"295",79.032195,21.223185,79.037195,21.218185,0,0,0,0,0
"296",79.032195,21.218185,79.037195,21.213185,0,0,0,0,0
"297",79.032195,21.213185,79.037195,21.208185,0,0,0,0,0
"298",79.032195,21.208185,79.037195,21.203185,0,0,0,0,0
"299",79.032195,21.203185,79.037195,21.198185,0,0,0,0,0
"300",79.032195,21.198185,79.037195,21.193185,0,0,0,0,0
"301",79.032195,21.193185,79.037195,21.188185,0,0,0,0,0
"302",79.032195,21.188185,79.037195,21.183185,0,0,0,0,0
"303",79.032195,21.183185,79.037195,21.178185,0,0,0,0,0
"304",79.032195,21.178185,79.037195,21.173185,0,0,0,0,0
"305",79.032195,21.173185,79.037195,21.168185,0,0,0,0,0
"306",79.032195,21.168185,79.037195,21.163185,0,0,0,0,0
"307",79.032195,21.163185,79.037195,21.158185,0,0,0,0,0
"308",79.032195,21.158185,79.037195,21.153185,0,0,0,0,0
"309",79.032195,21.153185,79.037195,21.148185,24,2,14,8,0
"310",79.032195,21.148185,79.037195,21.143185,0,0,0,0,0
"311",79.032195,21.143185,79.037195,21.138185,0,0,0,0,0
"312",79.032195,21.138185,79.037195,21.133185,0,0,0,0,0
"313",79.032195,21.133185,79.037195,21.128185,0,0,0,0,0
"314",79.032195,21.128185,79.037195,21.123185,0,0,0,0,0
"315",79.032195,21.123185,79.037195,21.118185,19,0,6,13,0
"316",79.032195,21.118185,79.037195,21.113185,0,0,0,0,0
"317",79.032195,21.113185,79.037195,21.108185,0,0,0,0,0
"318",79.032195,21.108185,79.037195,21.103185,0,0,0,0,0
"319",79.032195,21.103185,79.037195,21.098185,0,0,0,0,0
"320",79.032195,21.098185,79.037195,21.093185,0,0,0,0,0
"321",79.032195,21.093185,79.037195,21.088185,0,0,0,0,0
"322",79.032195,21.088185,79.037195,21.083185,0,0,0,0,0
"323",79.032195,21.083185,79.037195,21.078185,0,0,0,0,0
"324",79.032195,21.078185,79.037195,21.073185,0,0,0,0,0
"325",79.032195,21.073185,79.037195,21.068185,0,0,0,0,0
"326",79.032195,21.068185,79.037195,21.063185,0,0,0,0,0
"327",79.032195,21.063185,79.037195,21.058185,0,0,0,0,0
"328",79.032195,21.058185,79.037195,21.053185,0,0,0,0,0
"329",79.032195,21.053185,79.037195,21.048185,0,0,0,0,0
"330",79.032195,21.048185,79.037195,21.043185,0,0,0,0,0
"331",79.032195,21.043185,79.037195,21.038185,0,0,0,0,0
"332",79.032195,21.038185,79.037195,21.033185,0,0,0,0,0
"333",79.032195,21.033185,79.037195,21.028185,0,0,0,0,0
"334",79.032195,21.028185,79.037195,21.023185,0,0,0,0,0
"335",79.032195,21.023185,79.037195,21.018185,0,0,0,0,0
"336",79.032195,21.018185,79.037195,21.013185,0,0,0,0,0
"337",79.037195,21.253185,79.042195,21.248185,0,0,0,0,0
"338",79.037195,21.248185,79.042195,21.243185,0,0,0,0,0
"339",79.037195,21.243185,79.042195,21.238185,0,0,0,0,0
"340",79.037195,21.238185,79.042195,21.233185,0,0,0,0,0
"341",79.037195,21.233185,79.042195,21.228185,0,0,0,0,0
"342",79.037195,21.228185,79.042195,21.223185,0,0,0,0,0
"343",79.037195,21.223185,79.042195,21.218185,2,0,0,0,2
"344",79.037195,21.218185,79.042195,21.213185,0,0,0,0,0
"345",79.037195,21.213185,79.042195,21.208185,0,0,0,0,0
"346",79.037195,21.208185,79.042195,21.203185,0,0,0,0,0
"347",79.037195,21.203185,79.042195,21.198185,0,0,0,0,0
"348",79.037195,21.198185,79.042195,21.193185,0,0,0,0,0
"349",79.037195,21.193185,79.042195,21.188185,0,0,0,0,0
"350",79.037195,21.188185,79.042195,21.183185,0,0,0,0,0
"351",79.037195,21.183185,79.042195,21.178185,0,0,0,0,0
"352",79.037195,21.178185,79.042195,21.173185,0,0,0,0,0
"353",79.037195,21.173185,79.042195,21.168185,0,0,0,0,0
"354",79.037195,21.168185,79.042195,21.163185,0,0,0,0,0
"355",79.037195,21.163185,79.042195,21.158185,0,0,0,0,0
"356",79.037195,21.158185,79.042195,21.153185,0,0,0,0,0
"357",79.037195,21.153185,79.042195,21.148185,24,2,17,3,2
