Centroid_Lat,Centroid_Long,Cell_ID,Date,Events_per_Day,Event_Generators_Per_day,Normal_per_Day,Events_Overall,Event_Generators_Overall,Normal_Overall,Event_F_Per_DAY,Event_H_Per_DAY,Event_L_Per_DAY,Event_P_Per_DAY,Normal_F_Per_DAY,Normal_H_Per_DAY,Normal_L_Per_DAY,Normal_P_Per_DAY
21.155634534404793,79.09507902161691,8860961289fffff,02-05-22,8,2,4.0,45,3,15.0,1,6,0,1,0.5,3.0,0.0,0.5
21.155634534404793,79.09507902161691,8860961289fffff,02-06-22,7,1,7.0,45,3,15.0,1,4,0,2,1.0,4.0,0.0,2.0
21.155634534404793,79.09507902161691,8860961289fffff,02-08-22,5,1,5.0,45,3,15.0,0,4,0,1,0.0,4.0,0.0,1.0
21.155356728859275,79.08628287426153,886096128bfffff,02-01-22,3,1,3.0,34,3,11.333333333333334,0,1,0,2,0.0,1.0,0.0,2.0
21.155356728859275,79.08628287426153,886096128bfffff,02-02-22,2,1,2.0,34,3,11.333333333333334,0,0,0,2,0.0,0.0,0.0,2.0
21.155356728859275,79.08628287426153,886096128bfffff,02-03-22,10,2,5.0,34,3,11.333333333333334,1,3,2,4,0.5,1.5,1.0,2.0
21.155356728859275,79.08628287426153,886096128bfffff,02-04-22,7,1,7.0,34,3,11.333333333333334,1,3,0,3,1.0,3.0,0.0,3.0
21.155356728859275,79.08628287426153,886096128bfffff,02-05-22,6,2,3.0,34,3,11.333333333333334,2,2,1,1,1.0,1.0,0.5,0.5
21.155356728859275,79.08628287426153,886096128bfffff,02-06-22,3,1,3.0,34,3,11.333333333333334,0,2,1,0,0.0,2.0,1.0,0.0
21.155356728859275,79.08628287426153,886096128bfffff,02-08-22,3,1,3.0,34,3,11.333333333333334,0,2,0,1,0.0,2.0,0.0,1.0
21.147641485928386,79.07292158897812,8860961299fffff,02-01-22,6,4,1.5,78,5,15.6,1,5,0,0,0.25,1.25,0.0,0.0
21.147641485928386,79.07292158897812,8860961299fffff,02-02-22,6,2,3.0,78,5,15.6,0,5,1,0,0.0,2.5,0.5,0.0
21.147641485928386,79.07292158897812,8860961299fffff,02-03-22,14,5,2.8,78,5,15.6,1,9,0,4,0.2,1.8,0.0,0.8
21.147641485928386,79.07292158897812,8860961299fffff,02-04-22,16,5,3.2,78,5,15.6,0,14,0,2,0.0,2.8,0.0,0.4
21.147641485928386,79.07292158897812,8860961299fffff,02-05-22,12,4,3.0,78,5,15.6,3,7,1,1,0.75,1.75,0.25,0.25
21.147641485928386,79.07292158897812,8860961299fffff,02-06-22,10,5,2.0,78,5,15.6,3,6,0,1,0.6,1.2,0.0,0.2
21.147641485928386,79.07292158897812,8860961299fffff,02-07-22,6,4,1.5,78,5,15.6,0,5,1,0,0.0,1.25,0.25,0.0
21.147641485928386,79.07292158897812,8860961299fffff,02-08-22,8,2,4.0,78,5,15.6,1,7,0,0,0.5,3.5,0.0,0.0
21.147362903828828,79.0641276542765,886096129bfffff,02-01-22,1,1,1.0,52,4,13.0,0,0,1,0,0.0,0.0,1.0,0.0
21.147362903828828,79.0641276542765,886096129bfffff,02-02-22,10,1,10.0,52,4,13.0,1,7,0,2,1.0,7.0,0.0,2.0
21.147362903828828,79.0641276542765,886096129bfffff,02-03-22,9,2,4.5,52,4,13.0,2,4,0,3,1.0,2.0,0.0,1.5
21.147362903828828,79.0641276542765,886096129bfffff,02-04-22,8,2,4.0,52,4,13.0,0,5,0,3,0.0,2.5,0.0,1.5
21.147362903828828,79.0641276542765,886096129bfffff,02-05-22,4,1,4.0,52,4,13.0,1,3,0,0,1.0,3.0,0.0,0.0
21.147362903828828,79.0641276542765,886096129bfffff,02-06-22,7,2,3.5,52,4,13.0,2,4,0,1,1.0,2.0,0.0,0.5
21.147362903828828,79.0641276542765,886096129bfffff,02-07-22,9,2,4.5,52,4,13.0,1,7,0,1,0.5,3.5,0.0,0.5
21.147362903828828,79.0641276542765,886096129bfffff,02-08-22,4,1,4.0,52,4,13.0,0,3,0,1,0.0,3.0,0.0,1.0
21.155078492801824,79.0774875179153,886096129dfffff,02-01-22,1,1,1.0,54,4,13.5,0,1,0,0,0.0,1.0,0.0,0.0
21.155078492801824,79.0774875179153,886096129dfffff,02-03-22,9,4,2.25,54,4,13.5,1,3,1,4,0.25,0.75,0.25,1.0
21.155078492801824,79.0774875179153,886096129dfffff,02-04-22,14,4,3.5,54,4,13.5,3,8,0,3,0.75,2.0,0.0,0.75
21.155078492801824,79.0774875179153,886096129dfffff,02-05-22,8,3,2.6666666666666665,54,4,13.5,2,4,0,2,0.6666666666666666,1.3333333333333333,0.0,0.6666666666666666
21.155078492801824,79.0774875179153,886096129dfffff,02-06-22,10,4,2.5,54,4,13.5,0,4,1,5,0.0,1.0,0.25,1.25
21.155078492801824,79.0774875179153,886096129dfffff,02-07-22,6,2,3.0,54,4,13.5,0,5,0,1,0.0,2.5,0.0,0.5
21.155078492801824,79.0774875179153,886096129dfffff,02-08-22,6,2,3.0,54,4,13.5,1,1,0,4,0.5,0.5,0.0,2.0
21.16967321836758,79.07782487359341,88609612b9fffff,02-03-22,8,1,8.0,27,1,27.0,0,4,2,2,0.0,4.0,2.0,2.0
21.16967321836758,79.07782487359341,88609612b9fffff,02-04-22,7,1,7.0,27,1,27.0,0,5,1,1,0.0,5.0,1.0,1.0
21.16967321836758,79.07782487359341,88609612b9fffff,02-06-22,5,1,5.0,27,1,27.0,0,3,0,2,0.0,3.0,0.0,2.0
21.16967321836758,79.07782487359341,88609612b9fffff,02-07-22,5,1,5.0,27,1,27.0,2,2,0,1,2.0,2.0,0.0,1.0
21.16967321836758,79.07782487359341,88609612b9fffff,02-08-22,2,1,2.0,27,1,27.0,0,2,0,0,0.0,2.0,0.0,0.0
21.169393953242402,79.06902983938575,88609612bbfffff,02-03-22,11,1,11.0,34,1,34.0,3,5,2,1,3.0,5.0,2.0,1.0
21.169393953242402,79.06902983938575,88609612bbfffff,02-04-22,7,1,7.0,34,1,34.0,2,4,1,0,2.0,4.0,1.0,0.0
21.169393953242402,79.06902983938575,88609612bbfffff,02-06-22,5,1,5.0,34,1,34.0,0,5,0,0,0.0,5.0,0.0,0.0
21.169393953242402,79.06902983938575,88609612bbfffff,02-07-22,5,1,5.0,34,1,34.0,1,4,0,0,1.0,4.0,0.0,0.0
21.169393953242402,79.06902983938575,88609612bbfffff,02-08-22,6,1,6.0,34,1,34.0,1,3,2,0,1.0,3.0,2.0,0.0
21.14875151114526,79.10810523907861,88609612c1fffff,02-01-22,2,1,2.0,36,3,12.0,0,0,0,2,0.0,0.0,0.0,2.0
21.14875151114526,79.10810523907861,88609612c1fffff,02-02-22,3,1,3.0,36,3,12.0,0,1,0,2,0.0,1.0,0.0,2.0
21.14875151114526,79.10810523907861,88609612c1fffff,02-03-22,9,2,4.5,36,3,12.0,1,6,0,2,0.5,3.0,0.0,1.0
